doc_id,question,reference,generated,rougeL,bertscore_f1,f1_facts,has_ref_facts,has_gen_facts,faithful
zfqtad44pa6suim659iw461f27i4681h,Сколько лотов предусмотрено в конкурсе?,В конкурсе предусмотрено 10 лотов.,"<think>

</think>

10 лотов.",0.5,0.6543723344802856,1.0,True,True,1
zfqtad44pa6suim659iw461f27i4681h,Каков срок подачи заявки на конкурс?,Заявка на конкурс должна быть зарегистрирована в ИАС не позднее 17:00 (по московскому времени) 7 ноября 2023 года.,"<think>

</think>

Заявка на конкурс должна быть зарегистрирована в ИАС уполномоченным представителем организации-участника конкурса не позднее 17 часов 00 минут (по московскому времени) 7 ноября 2023 года.",0.8,0.8679629564285278,1.0,True,True,1
zfqtad44pa6suim659iw461f27i4681h,Какие требования предъявляются к руководителю проекта?,"Руководитель проекта должен состоять в трудовых отношениях с организацией-исполнителем, не должен быть дистанционным работником, иметь опыт проведения прикладных научных исследований, опытно-конструкторских и технологических работ с 1 января 2018 года до даты подачи заявки, не должен быть лишён права осуществления руководства проектами и не должен являться председателем, заместителем председателя и координатором секций научно-технологического совета Фонда.","<think>

</think>

Руководитель проекта должен иметь опыт проведения прикладных научных исследований, опытно-конструкторских и технологических работ, опытно-конструкторских разработок в период с 1 января 2018 года до даты подачи заявки. Также он не должен быть лишён права осуществления руководства проектами и не должен являться председателем, заместителем председателя и координатором секций научно-технологического совета Фонда.",0.6666666666666666,0.8928115367889404,1.0,True,True,1
zfqtad44pa6suim659iw461f27i4681h,Какие организации не могут участвовать в конкурсе?,"Не могут участвовать организации, у которых есть неисполненная обязанность по уплате налогов, сборов, страховых взносов, пеней, штрафов, процентов; просроченная задолженность по возврату в федеральный бюджет субсидий и бюджетных инвестиций; организации в процессе реорганизации (кроме реорганизации в форме присоединения), ликвидации, с введённой процедурой банкротства; организации, в реестре дисквалифицированных лиц есть сведения о руководителе, членах коллегиального исполнительного органа и других ключевых лицах; иностранные юридические лица и организации с долей офшорных компаний более 25%; организации, причастные к экстремистской деятельности, терроризму или распространению оружия массового уничтожения; организации, получающие средства на основании иных нормативных правовых актов РФ для получения научных и технических результатов.","<think>

</think>

Не могут участвовать в конкурсе организации, которые: имеют просроченную задолженность по возврату в федеральный бюджет субсидий, бюджетных инвестиций; находятся в процессе реорганизации (за исключением реорганизации в форме присоединения к организации другого юридического лица), ликвидации, в отношении организации не введена процедура банкротства, деятельность организации не приостановлена в порядке, предусмотренном законодательством Российской Федерации; являются иностранными юридическими лицами, в том числе местом регистрации которого является государство или территория, включённые в утверждаемый Министерством финансов Российской Федерации перечень государств и территорий, используемых для промежуточного (офшорного) владения активами в Российской Федерации; находятся в перечне организаций и иных субъектов, с которыми не состоят в трудовых или гражданско-правовых отношениях, а также с которыми не заключены соглашения о предоставл",0.0,0.7415984869003296,0.0,True,False,1
zfqtad44pa6suim659iw461f27i4681h,Какие этапы выполнения проекта предусмотрены в плане-графике?,План-график выполнения работ предусматривает три этапа: первый этап — с даты подписания соглашения о предоставлении гранта до 30 сентября 2024 года; второй этап — с 1 октября 2024 года по 30 сентября 2025 года; третий этап (при наличии) — с 1 октября 2025 года по 30 сентября 2026 года.,"<think>

</think>

Первый этап — с даты подписания соглашения о предоставлении гранта по 30 сентября 2024 года; второй этап — с 1 октября 2024 года по 30 сентября 2025 года; третий этап (при наличии) — с 1 октября 2025 года по 30 сентября 2026 года.",0.9090909090909092,0.9074938893318176,1.0,True,True,1
zfqtad44pa6suim659iw461f27i4681h,Какой размер гранта предусмотрен по лоту № 1?,"Размер гранта по лоту № 1 составляет до 60 000,0 тыс. руб., в том числе: в 2023 году на первый этап выполнения проекта — до 30 000,0 тыс. руб., в 2024 году на второй этап выполнения проекта — до 30 000,0 тыс. руб.","<think>

</think>

Размер гранта по лоту № 1 составляет до 90 000,0 тыс. руб., в том числе: в 2023 году на первый этап выполнения Проекта — до 30 000,0 тыс. руб., в 2024 году на второй этап выполнения Проекта — до 30 000,0 тыс. руб., в 2025 году на третий этап выполнения Проекта — до 30 000,0 тыс. руб.",0.7333333333333334,0.932621419429779,0.7692307692307692,True,True,0
zfqtad44pa6suim659iw461f27i4681h,Какие обязательства принимает на себя организация-участник конкурса и руководитель проекта?,"Организация-участник конкурса и руководитель проекта обязуются: сделать результаты работ применимыми при разработке научно-технической продукции организации-заказчика технологического предложения; предварительно согласовывать с организацией-заказчиком состав материалов перед обнародованием научной работы, аннотации проекта и отчётов о выполнении проекта; указывать на получение финансовой поддержки от Фонда и софинансирование организации-заказчика при обнародовании результатов проекта; согласиться на публикацию кратких аннотаций проекта и отчётов о выполнении проекта в информационно-телекоммуникационной сети Интернет; согласиться на осуществление Фондом, организацией-заказчиком и органами государственного финансового контроля проверок соблюдения условий и целей предоставления гранта.","<think>

</think>

Организация-участник конкурса и руководитель проекта принимают на себя следующие обязательства: сделать результаты своих работ применимыми при разработке научно-технической продукции организации-заказчика технологического предложения; до обнародования любой научной работы, выполненной в рамках поддержанного фондом проекта, согласовать состав материалов с организацией-заказчиком технологического предложения; при обнародовании результатов проекта указать на получение финансовой поддержки от фонда и софинансирование организации-заказчика технологического предложения; согласиться с опубликованием фондом кратких аннотаций проекта и соответствующих отчётов о выполнении проекта, предварительно согласованных с организацией-заказчиком технологического предложения, в том числе в информационно-телекоммуникационной сети интернет; согласиться на осуществление фондом, организацией-заказчиком технологического предложения, органами государственного финансового контроля обязательных проверок соблюдения организацией-ис",0.0,0.8372299075126648,1.0,False,False,1
zfqtad44pa6suim659iw461f27i4681h,Каким образом организация-участник может отозвать свою заявку?,Организация-участник может отозвать поданную на конкурс заявку путём отзыва её простой электронной подписи в ИАС.,"<think>

</think>

Организация-участник конкурса вправе отозвать поданную на конкурс заявку путём отзыва её простой электронной подписи в ИАС.",0.0,0.9128108620643616,1.0,False,False,1
leader-polozhenie,Какой максимальный возраст допускается для Руководителя научной группы на 1 января 2017 года?,Не более 65 лет.,"<think>

</think>

Для Руководителя научной группы допускаются к указанным в настоящем соглашении целям использования персональных данных, указанных в настоящем соглашении, не имеющие к ним прямого или косвенного отношения, а также данные, указывающие на их профессиональную деятельность.",0.0,0.5681335926055908,0.0,True,False,0
leader-polozhenie,Каков срок подачи полного комплекта заявки в электронном виде?,До 23:59 (время московское) 5 апреля 2017 года.,"<think>

</think>

Полный комплект заявки должен поступить в Фонд до 18 часов 00 минут (время московское) 20 апреля 2017 г.",0.2,0.7519806623458862,0.25,True,True,1
